,fit_time,score_time,test_AUC,test_ACC,test_bACC,test_SENS,test_SPEC,n_features
14,0.0016629695892333984,0.010050535202026367,0.9166666666666667,0.7142857142857143,0.7083333333333333,0.75,0.6666666666666666,25.0
15,0.005012035369873047,0.00503849983215332,1.0,0.8571428571428571,0.75,1.0,0.5,25.0
16,0.006524562835693359,0.003525972366333008,0.4,0.2857142857142857,0.2,0.4,0.0,25.0
17,0.003525972366333008,0.00693511962890625,0.6,0.7142857142857143,0.5,1.0,0.0,25.0
18,0.0,0.00693511962890625,0.7,0.8571428571428571,0.75,1.0,0.5,25.0
19,0.0,0.009989500045776367,0.6666666666666667,0.7142857142857143,0.6666666666666666,1.0,0.3333333333333333,25.0
20,0.0018665790557861328,0.003054380416870117,0.7,0.8571428571428571,0.75,1.0,0.5,25.0
21,0.0,0.003054380416870117,0.9,0.8571428571428571,0.75,1.0,0.5,25.0
22,0.0,0.003054380416870117,0.7,0.5714285714285714,0.55,0.6,0.5,25.0
23,0.003054380416870117,0.009903669357299805,1.0,0.7142857142857143,0.5,1.0,0.0,25.0
24,0.0,0.007875680923461914,0.5,0.7142857142857143,0.6666666666666666,1.0,0.3333333333333333,25.0
25,0.0,0.014649152755737305,0.4,0.7142857142857143,0.5,1.0,0.0,25.0
26,0.0,0.013654470443725586,0.8,0.8571428571428571,0.75,1.0,0.5,25.0
27,0.0,0.01664900779724121,1.0,0.8571428571428571,0.75,1.0,0.5,25.0
28,0.0,0.018158674240112305,0.7,0.5714285714285714,0.4,0.8,0.0,25.0
29,0.0,0.01664900779724121,0.8333333333333334,0.7142857142857143,0.6666666666666666,1.0,0.3333333333333333,25.0
30,0.007875680923461914,0.011929035186767578,0.7,0.7142857142857143,0.5,1.0,0.0,25.0
31,0.007875680923461914,0.011929035186767578,0.9,0.8571428571428571,0.75,1.0,0.5,25.0
32,0.007875680923461914,0.011929035186767578,0.8,0.7142857142857143,0.5,1.0,0.0,25.0
33,0.0,0.009999513626098633,0.9,0.7142857142857143,0.5,1.0,0.0,25.0
34,0.0020279884338378906,0.009901046752929688,0.5833333333333334,0.5714285714285714,0.5416666666666666,0.75,0.3333333333333333,25.0
35,0.0,0.014146804809570312,0.9,0.8571428571428571,0.75,1.0,0.5,25.0
36,0.0020279884338378906,0.009901046752929688,0.8,0.7142857142857143,0.5,1.0,0.0,25.0
37,0.0,0.014146804809570312,0.7,0.7142857142857143,0.5,1.0,0.0,25.0
38,0.0020279884338378906,0.009901046752929688,1.0,0.8571428571428571,0.75,1.0,0.5,25.0
39,0.0,0.01302337646484375,0.41666666666666663,0.42857142857142855,0.375,0.75,0.0,25.0
40,0.0027348995208740234,0.007166147232055664,0.7,0.5714285714285714,0.4,0.8,0.0,25.0
41,0.0,0.014146804809570312,0.7,0.8571428571428571,0.75,1.0,0.5,25.0
42,0.0037508010864257812,0.006150245666503906,0.8,0.7142857142857143,0.5,1.0,0.0,25.0
43,0.0,0.012012720108032227,0.9,0.8571428571428571,0.75,1.0,0.5,25.0
44,0.002994537353515625,0.0031557083129882812,0.8333333333333334,0.7142857142857143,0.6666666666666666,1.0,0.3333333333333333,25.0
45,0.0,0.014146804809570312,0.5,0.7142857142857143,0.5,1.0,0.0,25.0
46,0.0021486282348632812,0.011006593704223633,0.6,0.8571428571428571,0.75,1.0,0.5,25.0
47,0.0020132064819335938,0.008146524429321289,0.9,0.7142857142857143,0.5,1.0,0.0,25.0
48,0.0031557083129882812,0.011011838912963867,0.6,0.7142857142857143,0.5,1.0,0.0,25.0
49,0.002011537551879883,0.007135868072509766,0.6666666666666667,0.7142857142857143,0.6666666666666666,1.0,0.3333333333333333,25.0
50,0.0,0.014146804809570312,1.0,1.0,1.0,1.0,1.0,25.0
51,0.0,0.012044191360473633,1.0,0.8571428571428571,0.75,1.0,0.5,25.0
52,0.0,0.014146804809570312,0.7,0.8571428571428571,0.75,1.0,0.5,25.0
53,0.0,0.015065431594848633,0.8,0.7142857142857143,0.5,1.0,0.0,25.0
54,0.011011838912963867,0.009147405624389648,0.7500000000000001,0.5714285714285714,0.5,1.0,0.0,25.0
55,0.0,0.017606019973754883,0.7,0.8571428571428571,0.75,1.0,0.5,25.0
56,0.002011537551879883,0.007135868072509766,0.8,0.8571428571428571,0.75,1.0,0.5,25.0
57,0.007041215896606445,0.010564804077148438,0.4,0.5714285714285714,0.4,0.8,0.0,25.0
58,0.002134084701538086,0.012044191360473633,0.6,0.8571428571428571,0.75,1.0,0.5,25.0
59,0.002022266387939453,0.010566949844360352,1.0,0.7142857142857143,0.6666666666666666,1.0,0.3333333333333333,25.0
60,0.0011234283447265625,0.006012439727783203,0.7,0.8571428571428571,0.75,1.0,0.5,25.0
61,0.0,0.013573408126831055,0.7,0.8571428571428571,0.75,1.0,0.5,25.0
62,0.0,0.013053655624389648,0.9,0.8571428571428571,0.75,1.0,0.5,25.0
63,0.0030117034912109375,0.010339498519897461,0.4,0.5714285714285714,0.4,0.8,0.0,25.0
64,0.006012439727783203,0.011573076248168945,0.8333333333333334,0.5714285714285714,0.5,1.0,0.0,25.0
65,0.0020003318786621094,0.009695768356323242,0.6,0.7142857142857143,0.5,1.0,0.0,25.0
66,0.0,0.013573408126831055,0.8,0.7142857142857143,0.5,1.0,0.0,25.0
67,0.002522706985473633,0.007173061370849609,0.6,0.7142857142857143,0.65,0.8,0.5,25.0
68,0.0,0.014576196670532227,0.9,0.8571428571428571,0.75,1.0,0.5,25.0
69,0.001519918441772461,0.007173061370849609,1.0,0.7142857142857143,0.6666666666666666,1.0,0.3333333333333333,25.0
70,0.005039691925048828,0.01105642318725586,0.9,0.8571428571428571,0.75,1.0,0.5,25.0
71,0.0015099048614501953,0.017225265502929688,0.5,0.8571428571428571,0.75,1.0,0.5,25.0
72,0.00603175163269043,0.010064363479614258,1.0,0.8571428571428571,0.75,1.0,0.5,25.0
73,0.002524852752685547,0.011164188385009766,0.6,0.7142857142857143,0.5,1.0,0.0,25.0
74,0.002001523971557617,0.011579751968383789,0.75,0.42857142857142855,0.375,0.75,0.0,25.0
75,0.0017714500427246094,0.009392738342285156,0.6000000000000001,0.7142857142857143,0.5,1.0,0.0,25.0
76,0.002022266387939453,0.010566949844360352,0.8,0.8571428571428571,0.75,1.0,0.5,25.0
