,fit_time,score_time,test_AUC,test_ACC,test_bACC,test_SENS,test_SPEC,n_features
66,0.0025212764739990234,0.012912273406982422,0.65,0.8571428571428571,0.75,1.0,0.5,11.0
67,0.0,0.015059471130371094,1.0,0.7142857142857143,0.8,0.6,1.0,11.0
68,0.0010228157043457031,0.00982522964477539,0.75,0.7142857142857143,0.65,0.8,0.5,11.0
69,0.0,0.01719355583190918,0.5833333333333334,0.5714285714285714,0.5,1.0,0.0,11.0
70,0.0010228157043457031,0.00982522964477539,0.7,0.7142857142857143,0.5,1.0,0.0,11.0
71,0.007024049758911133,0.010169506072998047,0.9,0.7142857142857143,0.5,1.0,0.0,11.0
72,0.0,0.00982522964477539,0.85,0.8571428571428571,0.75,1.0,0.5,11.0
73,0.007024049758911133,0.010169506072998047,0.75,0.7142857142857143,0.65,0.8,0.5,11.0
74,0.0,0.016849279403686523,0.5833333333333334,0.5714285714285714,0.5,1.0,0.0,11.0
75,0.0,0.01520228385925293,0.8,0.8571428571428571,0.75,1.0,0.5,11.0
76,0.0,0.016849279403686523,0.95,0.8571428571428571,0.9,0.8,1.0,11.0
77,0.004050254821777344,0.011152029037475586,0.4,0.5714285714285714,0.4,0.8,0.0,11.0
78,0.0,0.016849279403686523,0.8,0.7142857142857143,0.5,1.0,0.0,11.0
79,0.004050254821777344,0.011152029037475586,0.75,0.7142857142857143,0.6666666666666666,1.0,0.3333333333333333,11.0
80,0.007111072540283203,0.00973820686340332,0.6,0.8571428571428571,0.75,1.0,0.5,11.0
81,0.0,0.011152029037475586,0.8,0.7142857142857143,0.8,0.6,1.0,11.0
82,0.0017032623291015625,0.012085199356079102,0.8,0.7142857142857143,0.5,1.0,0.0,11.0
83,0.0,0.01618790626525879,0.85,0.7142857142857143,0.65,0.8,0.5,11.0
84,0.0015859603881835938,0.011074304580688477,0.4583333333333334,0.5714285714285714,0.5,1.0,0.0,11.0
85,0.0,0.01618790626525879,0.8,0.7142857142857143,0.5,1.0,0.0,11.0
86,0.0,0.01719355583190918,0.7,0.7142857142857143,0.65,0.8,0.5,11.0
87,0.0,0.014545917510986328,0.9,0.8571428571428571,0.75,1.0,0.5,11.0
