,fit_time,score_time,test_AUC,test_ACC,test_bACC,test_SENS,test_SPEC,n_features
21,0.0,0.010098457336425781,1.0,1.0,1.0,1.0,1.0,59.0
22,0.0,0.010098457336425781,0.8,0.5714285714285714,0.55,0.6,0.5,59.0
23,0.0,0.0141448974609375,0.9,0.8571428571428571,0.9,0.8,1.0,59.0
24,0.0,0.0141448974609375,0.5833333333333334,0.5714285714285714,0.5833333333333333,0.5,0.6666666666666666,59.0
25,0.0,0.01567673683166504,0.4,0.7142857142857143,0.65,0.8,0.5,59.0
26,0.0,0.01567673683166504,0.9,0.8571428571428571,0.75,1.0,0.5,59.0
27,0.0,0.01567673683166504,0.6,0.7142857142857143,0.8,0.6,1.0,59.0
28,0.0,0.01567673683166504,0.4,0.42857142857142855,0.45,0.4,0.5,59.0
29,0.008068323135375977,0.0076084136962890625,0.8333333333333334,0.8571428571428571,0.8333333333333333,1.0,0.6666666666666666,59.0
30,0.008068323135375977,0.01165318489074707,0.5,0.7142857142857143,0.65,0.8,0.5,59.0
31,0.0020301342010498047,0.009623050689697266,0.8,0.7142857142857143,0.8,0.6,1.0,59.0
32,0.0,0.009623050689697266,0.7,0.5714285714285714,0.4,0.8,0.0,59.0
33,0.0,0.012580156326293945,0.9,0.7142857142857143,0.65,0.8,0.5,59.0
34,0.004046440124511719,0.005576610565185547,0.6666666666666667,0.42857142857142855,0.4583333333333333,0.25,0.6666666666666666,59.0
35,0.0,0.012580156326293945,0.7,0.7142857142857143,0.8,0.6,1.0,59.0
36,0.005578279495239258,0.004044771194458008,0.8,0.7142857142857143,0.8,0.6,1.0,59.0
37,0.0,0.012580156326293945,0.6000000000000001,0.42857142857142855,0.45,0.4,0.5,59.0
38,0.001531839370727539,0.004044771194458008,1.0,1.0,1.0,1.0,1.0,59.0
39,0.010012388229370117,0.010080575942993164,0.16666666666666669,0.2857142857142857,0.29166666666666663,0.25,0.3333333333333333,59.0
40,0.0006272792816162109,0.004044771194458008,0.6000000000000001,0.5714285714285714,0.55,0.6,0.5,59.0
41,0.010012388229370117,0.010080575942993164,0.8,0.5714285714285714,0.55,0.6,0.5,59.0
42,0.0030143260955810547,0.0010304450988769531,0.6000000000000001,0.5714285714285714,0.55,0.6,0.5,59.0
43,0.011066198348999023,0.009026765823364258,0.9,0.8571428571428571,0.9,0.8,1.0,59.0
44,0.004044771194458008,0.0,0.8333333333333334,0.7142857142857143,0.7083333333333333,0.75,0.6666666666666666,59.0
45,0.011066198348999023,0.009026765823364258,0.2,0.42857142857142855,0.45,0.4,0.5,59.0
46,0.0,0.012580156326293945,0.5,0.42857142857142855,0.45,0.4,0.5,59.0
47,0.0,0.012553215026855469,0.8,0.7142857142857143,0.65,0.8,0.5,59.0
48,0.0,0.012580156326293945,0.6,0.5714285714285714,0.55,0.6,0.5,59.0
49,0.0,0.012553215026855469,0.8333333333333334,0.8571428571428571,0.875,0.75,1.0,59.0
50,0.0,0.012580156326293945,0.9,0.5714285714285714,0.7,0.4,1.0,59.0
51,0.0,0.012553215026855469,0.9,0.8571428571428571,0.9,0.8,1.0,59.0
52,0.0,0.012580156326293945,0.8,0.5714285714285714,0.55,0.6,0.5,59.0
53,0.0,0.012553215026855469,0.9,0.7142857142857143,0.65,0.8,0.5,59.0
54,0.0,0.012580156326293945,0.5833333333333334,0.7142857142857143,0.7083333333333333,0.75,0.6666666666666666,59.0
55,0.007512807846069336,0.009055376052856445,0.5,0.42857142857142855,0.6,0.2,1.0,59.0
56,0.0,0.02009296417236328,0.8,0.7142857142857143,0.65,0.8,0.5,59.0
57,0.0,0.010063648223876953,0.5,0.42857142857142855,0.45,0.4,0.5,59.0
58,0.0,0.02009296417236328,0.7,0.7142857142857143,0.65,0.8,0.5,59.0
59,0.0,0.009055376052856445,0.5833333333333334,0.5714285714285714,0.5833333333333333,0.5,0.6666666666666666,59.0
60,0.0,0.012553215026855469,0.8,0.5714285714285714,0.55,0.6,0.5,59.0
61,0.0,0.00502324104309082,0.7,0.42857142857142855,0.45,0.4,0.5,59.0
62,0.0,0.012553215026855469,0.9,0.7142857142857143,0.65,0.8,0.5,59.0
63,0.0,0.00502324104309082,0.4,0.2857142857142857,0.35,0.2,0.5,59.0
64,0.002013683319091797,0.0,0.5833333333333334,0.7142857142857143,0.6666666666666666,1.0,0.3333333333333333,59.0
65,0.006721019744873047,0.012023687362670898,0.5,0.42857142857142855,0.45,0.4,0.5,59.0
66,0.0010082721710205078,0.010274171829223633,0.8,0.7142857142857143,0.65,0.8,0.5,59.0
67,0.0,0.015003442764282227,0.8,0.5714285714285714,0.7,0.4,1.0,59.0
68,0.0,0.010274171829223633,0.8,0.7142857142857143,0.8,0.6,1.0,59.0
69,0.004937171936035156,0.012073993682861328,0.7500000000000001,0.8571428571428571,0.8333333333333333,1.0,0.6666666666666666,59.0
70,0.0,0.006721019744873047,0.8,0.8571428571428571,0.9,0.8,1.0,59.0
71,0.003553152084350586,0.011992931365966797,0.5,0.42857142857142855,0.45,0.4,0.5,59.0
72,0.0,0.015211343765258789,0.8,0.7142857142857143,0.8,0.6,1.0,59.0
73,0.0025217533111572266,0.010487794876098633,0.8,0.8571428571428571,0.75,1.0,0.5,59.0
74,0.0,0.015211343765258789,0.5,0.5714285714285714,0.5833333333333333,0.5,0.6666666666666666,59.0
75,0.0025217533111572266,0.010487794876098633,0.7,0.5714285714285714,0.7,0.4,1.0,59.0
76,0.006721019744873047,0.010502099990844727,1.0,0.8571428571428571,0.9,0.8,1.0,59.0
77,0.0015215873718261719,0.010987043380737305,0.7,0.5714285714285714,0.55,0.6,0.5,59.0
78,0.0,0.013535261154174805,0.4,0.42857142857142855,0.3,0.6,0.0,59.0
79,0.002010822296142578,0.010135412216186523,0.7500000000000001,0.8571428571428571,0.8333333333333333,1.0,0.6666666666666666,59.0
80,0.003553152084350586,0.01099252700805664,0.4,0.7142857142857143,0.65,0.8,0.5,59.0
81,0.002011537551879883,0.009124279022216797,0.5,0.42857142857142855,0.45,0.4,0.5,59.0
82,0.003553152084350586,0.011992931365966797,1.0,0.8571428571428571,0.75,1.0,0.5,59.0
83,0.0020110607147216797,0.008124351501464844,1.0,0.7142857142857143,0.8,0.6,1.0,59.0
84,0.0,0.013004064559936523,0.33333333333333337,0.42857142857142855,0.41666666666666663,0.5,0.3333333333333333,59.0
