,fit_time,score_time,test_AUC,test_ACC,test_bACC,test_SENS,test_SPEC,n_features
3,0.0,0.005538225173950195,0.8,0.8571428571428571,0.9,0.8,1.0,13.0
4,0.0025141239166259766,0.010053157806396484,0.7500000000000001,0.7142857142857143,0.7083333333333333,0.75,0.6666666666666666,13.0
5,0.0025141239166259766,0.0030241012573242188,0.4,0.5714285714285714,0.55,0.6,0.5,13.0
6,0.0025141239166259766,0.010053157806396484,1.0,0.7142857142857143,0.8,0.6,1.0,13.0
7,0.0,0.010053157806396484,0.5,0.5714285714285714,0.4,0.8,0.0,13.0
8,0.0030241012573242188,0.010058164596557617,0.5,0.42857142857142855,0.3,0.6,0.0,13.0
9,0.0030241012573242188,0.007029056549072266,0.5833333333333333,0.5714285714285714,0.5833333333333333,0.5,0.6666666666666666,13.0
10,0.0030241012573242188,0.011487245559692383,0.6000000000000001,0.5714285714285714,0.4,0.8,0.0,13.0
11,0.0030241012573242188,0.011487245559692383,0.5,0.42857142857142855,0.3,0.6,0.0,13.0
12,0.0,0.011487245559692383,0.7,0.7142857142857143,0.65,0.8,0.5,13.0
13,0.0,0.011487245559692383,1.0,0.8571428571428571,0.9,0.8,1.0,13.0
14,0.0,0.011487245559692383,0.8333333333333334,0.8571428571428571,0.875,0.75,1.0,13.0
15,0.0,0.011487245559692383,0.8,0.8571428571428571,0.75,1.0,0.5,13.0
16,0.007029056549072266,0.004458189010620117,0.30000000000000004,0.2857142857142857,0.2,0.4,0.0,13.0
17,0.0006785392761230469,0.005525827407836914,0.9,0.7142857142857143,0.65,0.8,0.5,13.0
18,0.0,0.005525827407836914,0.8,0.5714285714285714,0.55,0.6,0.5,13.0
19,0.0,0.010449409484863281,0.75,0.7142857142857143,0.7083333333333333,0.75,0.6666666666666666,13.0
20,0.0,0.010449409484863281,0.7,0.5714285714285714,0.7,0.4,1.0,13.0
21,0.005057573318481445,0.009110212326049805,0.8,0.8571428571428571,0.75,1.0,0.5,13.0
22,0.005057573318481445,0.009110212326049805,0.7,0.5714285714285714,0.55,0.6,0.5,13.0
23,0.0015151500701904297,0.007595062255859375,1.0,1.0,1.0,1.0,1.0,13.0
24,0.0015151500701904297,0.01012277603149414,0.5833333333333334,0.42857142857142855,0.41666666666666663,0.5,0.3333333333333333,13.0
25,0.0,0.01012277603149414,0.5,0.7142857142857143,0.65,0.8,0.5,13.0
26,0.0,0.013149023056030273,0.9,0.7142857142857143,0.65,0.8,0.5,13.0
27,0.0,0.01012277603149414,0.5,0.5714285714285714,0.55,0.6,0.5,13.0
28,0.0045833587646484375,0.008565664291381836,0.6000000000000001,0.42857142857142855,0.45,0.4,0.5,13.0
29,0.0045833587646484375,0.008565664291381836,0.8333333333333334,0.7142857142857143,0.7083333333333333,0.75,0.6666666666666666,13.0
30,0.0007066726684570312,0.008565664291381836,0.7,0.7142857142857143,0.65,0.8,0.5,13.0
31,0.0,0.008565664291381836,0.3,0.42857142857142855,0.45,0.4,0.5,13.0
32,0.0030117034912109375,0.01059103012084961,0.7,0.5714285714285714,0.4,0.8,0.0,13.0
33,0.0030760765075683594,0.007058620452880859,0.9,0.8571428571428571,0.9,0.8,1.0,13.0
34,0.0030117034912109375,0.011600971221923828,0.6666666666666667,0.42857142857142855,0.4583333333333333,0.25,0.6666666666666666,13.0
35,0.0020661354064941406,0.007058620452880859,0.4,0.5714285714285714,0.55,0.6,0.5,13.0
36,0.0025277137756347656,0.008063316345214844,0.9,0.8571428571428571,0.75,1.0,0.5,13.0
