,n features,mean score,std score
0,10,0.5472499999999999,0.18135315072470556
1,11,0.6295833333333334,0.15424716366922275
2,12,0.6015833333333334,0.17994094324404203
3,13,0.5954166666666668,0.1816298701266458
4,14,0.60775,0.17320209374536377
5,15,0.5879166666666666,0.1919865989246819
6,16,0.5511666666666667,0.1592430881109479
7,17,0.5815,0.16306346753471315
8,18,0.5803333333333334,0.18440414553064932
9,19,0.5803333333333334,0.18440414553064932
10,20,0.5803333333333334,0.18440414553064932
11,21,0.5803333333333334,0.18440414553064932
12,22,0.5803333333333334,0.18440414553064932
13,23,0.5803333333333334,0.18440414553064932
14,24,0.5803333333333334,0.18440414553064932
15,25,0.5803333333333334,0.18440414553064932
16,26,0.5803333333333334,0.18440414553064932
17,27,0.5803333333333334,0.18440414553064932
18,28,0.5582499999999999,0.16519136629981604
19,29,0.5792499999999999,0.16321209360828628
20,30,0.5803333333333334,0.18440414553064932
21,31,0.5605,0.15628775099511513
22,32,0.5803333333333334,0.18440414553064932
23,33,0.524,0.08400793613304243
24,34,0.5803333333333334,0.18440414553064932
25,35,0.5803333333333334,0.18440414553064932
26,36,0.5792499999999999,0.16321209360828628
27,37,0.5803333333333334,0.18440414553064932
28,38,0.5803333333333334,0.18440414553064932
29,39,0.5792499999999999,0.16321209360828628
30,40,0.5803333333333334,0.18440414553064932
31,41,0.5803333333333334,0.18440414553064932
32,42,0.5803333333333334,0.18440414553064932
33,43,0.5210833333333333,0.17798819795455853
34,44,0.5803333333333334,0.18440414553064932
35,45,0.5803333333333334,0.18440414553064932
36,46,0.5605,0.15628775099511513
37,47,0.5803333333333334,0.18440414553064932
38,48,0.5803333333333334,0.18440414553064932
39,49,0.524,0.08400793613304243
40,50,0.5803333333333334,0.18440414553064932
41,51,0.5803333333333334,0.18440414553064932
42,52,0.5803333333333334,0.18440414553064932
43,53,0.524,0.08400793613304243
44,54,0.5803333333333334,0.18440414553064932
45,55,0.5792499999999999,0.16321209360828628
46,56,0.5803333333333334,0.18440414553064932
47,57,0.5803333333333334,0.18440414553064932
48,58,0.5803333333333334,0.18440414553064932
49,59,0.5803333333333334,0.18440414553064932
50,60,0.5803333333333334,0.18440414553064932
51,61,0.5803333333333334,0.18440414553064932
52,62,0.5803333333333334,0.18440414553064932
53,63,0.5803333333333334,0.18440414553064932
