,n features,mean score,std score
0,10,0.6927499999999999,0.176590608627853
1,11,0.7091666666666667,0.18226392646074782
2,12,0.7024166666666667,0.18067118306162963
3,13,0.6687500000000002,0.19691853575075718
4,14,0.6265833333333333,0.20494137034229518
5,15,0.6622500000000001,0.19710211327014115
6,16,0.6373333333333333,0.20029658564793915
7,17,0.6211666666666666,0.20216336903053872
8,18,0.6250000000000001,0.18290859891091932
9,19,0.6235,0.19016213842110866
10,20,0.626,0.1848320559018075
11,21,0.626,0.1848320559018075
12,22,0.6250000000000001,0.18290859891091932
13,23,0.626,0.1848320559018075
14,24,0.6165,0.19025195282980817
15,25,0.6245,0.18898052515772332
16,26,0.6138333333333333,0.19723512477356675
17,27,0.6189166666666668,0.18650236444732932
18,28,0.6250000000000001,0.18290859891091932
19,29,0.6136666666666667,0.19784435521108223
20,30,0.6235,0.18778082673395835
21,31,0.6250000000000001,0.18290859891091932
22,32,0.6200000000000001,0.18487984085766507
23,33,0.6200000000000001,0.18487984085766507
24,34,0.626,0.1848320559018075
25,35,0.6153333333333334,0.19933124302136995
26,36,0.61975,0.1905389104327221
27,37,0.6235,0.19016213842110866
28,38,0.6250000000000001,0.18290859891091932
29,39,0.6250000000000001,0.18290859891091932
30,40,0.6250000000000001,0.18290859891091932
31,41,0.6235,0.18778082673395835
32,42,0.6136666666666667,0.19784435521108223
33,43,0.6250000000000001,0.18290859891091932
34,44,0.62575,0.19317196929736524
35,45,0.6189166666666668,0.18650236444732932
36,46,0.6245,0.18898052515772332
37,47,0.612,0.18793586376444732
38,48,0.6200000000000001,0.18487984085766507
39,49,0.62575,0.19317196929736524
40,50,0.6136666666666667,0.19784435521108223
41,51,0.6245,0.18898052515772332
42,52,0.6176666666666667,0.18412435411367442
43,53,0.6235,0.19016213842110866
44,54,0.6214166666666667,0.18948121791999453
45,55,0.62575,0.19317196929736524
46,56,0.6092500000000001,0.2001245966058812
47,57,0.626,0.1848320559018075
48,58,0.6175,0.1854704978037088
49,59,0.6199166666666667,0.18773464946863463
50,60,0.6245,0.18898052515772332
51,61,0.62575,0.19317196929736524
52,62,0.6245,0.18898052515772332
53,63,0.61875,0.1911637423490367
