,fit_time,score_time,test_AUC,test_ACC,test_bACC,test_SENS,test_SPEC,n_features
0,0.0029075145721435547,0.010517358779907227,0.8,0.8571428571428571,0.9,0.8,1.0,10.0
1,0.0029904842376708984,0.010523796081542969,0.6000000000000001,0.7142857142857143,0.65,0.8,0.5,10.0
2,0.002999544143676758,0.011035680770874023,0.8,0.7142857142857143,0.65,0.8,0.5,10.0
3,0.00199127197265625,0.011561393737792969,0.2,0.14285714285714285,0.1,0.2,0.0,10.0
4,0.0025043487548828125,0.010757684707641602,0.5,0.5714285714285714,0.5416666666666666,0.75,0.3333333333333333,10.0
5,0.0025043487548828125,0.011798381805419922,0.9,0.7142857142857143,0.8,0.6,1.0,10.0
6,0.002513885498046875,0.010790824890136719,0.9,0.7142857142857143,0.8,0.6,1.0,10.0
7,0.0025162696838378906,0.010802030563354492,0.6000000000000001,0.5714285714285714,0.55,0.6,0.5,10.0
8,0.0030243396759033203,0.010784387588500977,0.5,0.42857142857142855,0.3,0.6,0.0,10.0
9,0.002016782760620117,0.010784387588500977,0.8333333333333334,0.5714285714285714,0.5833333333333333,0.5,0.6666666666666666,10.0
10,0.0020105838775634766,0.011787176132202148,0.9,0.8571428571428571,0.9,0.8,1.0,10.0
11,0.0030105113983154297,0.010787248611450195,0.6,0.5714285714285714,0.55,0.6,0.5,10.0
12,0.0029959678649902344,0.010785579681396484,0.6000000000000001,0.5714285714285714,0.55,0.6,0.5,10.0
13,0.002000093460083008,0.011859655380249023,0.9,0.7142857142857143,0.65,0.8,0.5,10.0
14,0.0019996166229248047,0.011878490447998047,0.9166666666666667,0.7142857142857143,0.75,0.5,1.0,10.0
15,0.005778074264526367,0.008088350296020508,0.9,0.7142857142857143,0.8,0.6,1.0,10.0
16,0.0027382373809814453,0.0071222782135009766,0.2,0.2857142857142857,0.2,0.4,0.0,10.0
17,0.002995729446411133,0.01043701171875,0.9,0.7142857142857143,0.8,0.6,1.0,10.0
18,0.002072572708129883,0.01039576530456543,0.7,0.7142857142857143,0.8,0.6,1.0,10.0
19,0.0020923614501953125,0.011115550994873047,0.75,0.7142857142857143,0.7083333333333333,0.75,0.6666666666666666,10.0
20,0.0016741752624511719,0.008452892303466797,0.5,0.42857142857142855,0.45,0.4,0.5,10.0
21,0.0011856555938720703,0.009590387344360352,1.0,1.0,1.0,1.0,1.0,10.0
22,0.0017380714416503906,0.010882854461669922,0.9,0.8571428571428571,0.9,0.8,1.0,10.0
