,n features,mean score,std score
0,10,0.7608333333333335,0.1885820628915816
1,11,0.7833333333333333,0.19109334542748124
2,12,0.7658333333333335,0.19248917718493508
3,13,0.7431666666666666,0.19834166649160398
4,14,0.7278333333333334,0.20923212787077738
5,15,0.7226666666666668,0.2064854043806056
6,16,0.7204999999999999,0.20129932107850407
7,17,0.7195000000000001,0.20777999850268983
8,18,0.7100000000000002,0.2109502310972899
9,19,0.7110000000000002,0.2097117068739845
10,20,0.7066666666666667,0.2227479891416905
11,21,0.7078333333333333,0.2064845299559052
12,22,0.7095,0.20580809561876381
13,23,0.7091666666666668,0.21048060084799583
14,24,0.7093333333333334,0.2085841157263259
15,25,0.7081666666666667,0.2133007136519811
16,26,0.7090000000000001,0.21362506095181497
17,27,0.7091666666666668,0.21062572123186768
18,28,0.7090000000000001,0.21362506095181497
19,29,0.7081666666666667,0.21264857551055136
20,30,0.7066666666666667,0.2227479891416905
21,31,0.7090000000000001,0.21362506095181497
22,32,0.7066666666666667,0.2227479891416905
23,33,0.7081666666666667,0.21556766145845407
24,34,0.7110000000000002,0.2097117068739845
25,35,0.7075000000000001,0.21982789985703716
26,36,0.7078333333333333,0.2064845299559052
27,37,0.7100000000000002,0.2109502310972899
28,38,0.7091666666666668,0.21048060084799583
29,39,0.7081666666666667,0.21556766145845407
30,40,0.7091666666666668,0.21048060084799583
31,41,0.7091666666666668,0.21142867197552306
32,42,0.7078333333333333,0.2064845299559052
33,43,0.7091666666666668,0.21142867197552306
34,44,0.7091666666666668,0.21142867197552306
35,45,0.7083333333333335,0.20982135258357287
36,46,0.7091666666666668,0.21204526508376564
37,47,0.7081666666666667,0.21556766145845407
38,48,0.7090000000000001,0.21362506095181497
39,49,0.7075000000000001,0.21982789985703716
40,50,0.7081666666666669,0.21170596748005632
41,51,0.7110000000000002,0.2097117068739845
42,52,0.7091666666666668,0.21142867197552306
43,53,0.7091666666666668,0.21142867197552306
44,54,0.7110000000000002,0.2097117068739845
45,55,0.7091666666666668,0.21062572123186768
46,56,0.7091666666666668,0.21142867197552306
47,57,0.7091666666666668,0.21062572123186768
48,58,0.7093333333333334,0.2085841157263259
49,59,0.7091666666666668,0.21048060084799583
50,60,0.7091666666666668,0.21142867197552306
51,61,0.7081666666666667,0.21075914373204943
52,62,0.7091666666666668,0.21048060084799583
53,63,0.7110000000000002,0.2097117068739845
