,fit_time,score_time,test_AUC,test_ACC,test_bACC,test_SENS,test_SPEC,n_features
0,0.0009355545043945312,0.010042667388916016,0.8,0.8571428571428571,0.9,0.8,1.0,10.0
1,0.0005080699920654297,0.010042667388916016,0.7,0.7142857142857143,0.65,0.8,0.5,10.0
2,0.0,0.010042667388916016,0.9,0.7142857142857143,0.8,0.6,1.0,10.0
3,0.0,0.014584779739379883,0.4,0.42857142857142855,0.45,0.4,0.5,10.0
4,0.0,0.016510009765625,0.8333333333333334,0.7142857142857143,0.7083333333333333,0.75,0.6666666666666666,10.0
5,0.004015684127807617,0.010689735412597656,1.0,0.8571428571428571,0.9,0.8,1.0,10.0
6,0.004015684127807617,0.011748552322387695,0.8,0.7142857142857143,0.8,0.6,1.0,10.0
7,0.004015684127807617,0.012494325637817383,0.6,0.5714285714285714,0.55,0.6,0.5,10.0
8,0.0,0.016019344329833984,0.5,0.42857142857142855,0.45,0.4,0.5,10.0
9,0.0,0.016019344329833984,0.75,0.5714285714285714,0.5833333333333333,0.5,0.6666666666666666,10.0
10,0.0,0.016019344329833984,1.0,0.8571428571428571,0.9,0.8,1.0,10.0
11,0.0,0.016019344329833984,0.6000000000000001,0.42857142857142855,0.45,0.4,0.5,10.0
12,0.0060269832611083984,0.009992361068725586,0.6000000000000001,0.7142857142857143,0.65,0.8,0.5,10.0
13,0.0060269832611083984,0.009992361068725586,1.0,0.8571428571428571,0.75,1.0,0.5,10.0
14,0.0060269832611083984,0.015305042266845703,0.8333333333333334,0.5714285714285714,0.625,0.25,1.0,10.0
15,0.0,0.009992361068725586,1.0,0.7142857142857143,0.8,0.6,1.0,10.0
16,0.005721569061279297,0.009583473205566406,0.6000000000000001,0.42857142857142855,0.45,0.4,0.5,10.0
17,0.0,0.008837699890136719,0.8,0.7142857142857143,0.8,0.6,1.0,10.0
18,0.0,0.014481544494628906,0.9,0.8571428571428571,0.9,0.8,1.0,10.0
19,0.0015134811401367188,0.008360862731933594,0.5833333333333334,0.5714285714285714,0.5833333333333333,0.5,0.6666666666666666,10.0
20,0.003226041793823242,0.011676549911499023,0.8,0.2857142857142857,0.5,0.0,1.0,10.0
21,0.0017971992492675781,0.0056421756744384766,0.9,0.8571428571428571,0.9,0.8,1.0,10.0
22,0.003103494644165039,0.012094259262084961,1.0,0.8571428571428571,0.9,0.8,1.0,10.0
23,0.0020973682403564453,0.008573055267333984,1.0,0.8571428571428571,0.9,0.8,1.0,10.0
24,0.0010073184967041016,0.008573055267333984,0.7500000000000001,0.7142857142857143,0.7083333333333333,0.75,0.6666666666666666,10.0
25,0.001523733139038086,0.011798858642578125,0.7,0.7142857142857143,0.65,0.8,0.5,10.0
26,0.0035448074340820312,0.009997129440307617,0.9,0.7142857142857143,0.8,0.6,1.0,10.0
27,0.0020210742950439453,0.009997129440307617,0.8,0.5714285714285714,0.7,0.4,1.0,10.0
