,n features,mean score,std score
0,10,0.7171428571428571,0.08076168014344325
1,11,0.707142857142857,0.0765986092483115
2,12,0.7085714285714285,0.11766434446842287
3,13,0.7057142857142857,0.1454339039157076
4,14,0.7171428571428571,0.0903056035958806
5,15,0.724285714285714,0.10152912520703662
6,16,0.7414285714285712,0.1335465981504247
7,17,0.7085714285714283,0.1260385428577873
8,18,0.7385714285714284,0.13560898170242022
9,19,0.7228571428571426,0.12091487982570757
10,20,0.7257142857142855,0.12067835475395927
11,21,0.7185714285714284,0.08911125813571824
12,22,0.7371428571428571,0.13204822866618676
13,23,0.7257142857142855,0.11897521607804007
14,24,0.7328571428571428,0.153403562739672
15,25,0.7285714285714284,0.12697420596165127
16,26,0.7357142857142855,0.12837286254008162
17,27,0.7242857142857142,0.13132760096609625
18,28,0.7242857142857142,0.11995747545846129
19,29,0.7185714285714284,0.08911125813571824
20,30,0.7157142857142855,0.08688486399734267
21,31,0.7385714285714287,0.13101643455097142
22,32,0.717142857142857,0.08801669600428208
23,33,0.7171428571428572,0.14565825253178152
24,34,0.7342857142857142,0.13251107000348833
25,35,0.7299999999999999,0.12760749770051819
26,36,0.7271428571428571,0.13415647276100198
27,37,0.7199999999999999,0.1383872118664267
28,38,0.7485714285714284,0.13266499161421597
29,39,0.7142857142857142,0.08571428571428572
30,40,0.7285714285714284,0.12697420596165127
31,41,0.7085714285714285,0.11414276774536102
32,42,0.7414285714285712,0.13200958530441984
33,43,0.7299999999999999,0.13686728265449155
34,44,0.7442857142857142,0.14040030234283393
35,45,0.7128571428571425,0.11156584950382535
36,46,0.7428571428571428,0.11952286093343933
37,47,0.7142857142857142,0.08571428571428572
38,48,0.7228571428571426,0.12091487982570757
39,49,0.7385714285714287,0.13560898170242025
40,50,0.7214285714285711,0.12016145600900516
41,51,0.7285714285714284,0.13324827218698307
42,52,0.7285714285714284,0.12697420596165127
43,53,0.7242857142857142,0.12495713550768404
44,54,0.7257142857142855,0.11897521607804007
45,55,0.7142857142857142,0.08571428571428572
46,56,0.7414285714285712,0.1335465981504247
47,57,0.7271428571428571,0.13107872692798486
48,58,0.7214285714285712,0.14051653980647144
49,59,0.7199999999999999,0.12275743462251906
50,60,0.7185714285714284,0.08911125813571824
51,61,0.7185714285714283,0.08911125813571824
52,62,0.7442857142857142,0.1233792891031223
53,63,0.7228571428571426,0.12091487982570757
