,n features,mean score,std score
0,10,0.7911666666666668,0.17026866025979845
1,11,0.7903333333333333,0.18613286771670512
2,12,0.7919999999999999,0.18817072626267412
3,13,0.7398333333333335,0.24469817008805858
4,14,0.7426666666666667,0.22257732738683578
5,15,0.8218333333333335,0.18929246918165782
6,16,0.7883333333333334,0.18846602994822287
7,17,0.799,0.2055591290980665
8,18,0.7609999999999999,0.22430410904246342
9,19,0.7630000000000001,0.2171479270502535
10,20,0.7540000000000002,0.20569826877681247
11,21,0.7791666666666669,0.22081131965750508
12,22,0.7701666666666667,0.21693950769742246
13,23,0.7853333333333334,0.21770622407271686
14,24,0.7546666666666668,0.21154300849814076
15,25,0.7681666666666668,0.21785692297673004
16,26,0.7781666666666669,0.2204880319251415
17,27,0.7831666666666668,0.22024601144074224
18,28,0.7290000000000001,0.20036938111619973
19,29,0.7831666666666668,0.22024601144074224
20,30,0.7656666666666669,0.21792990718220492
21,31,0.7891666666666669,0.21424771488474115
22,32,0.7891666666666669,0.21424771488474115
23,33,0.7646666666666669,0.21668307630167047
24,34,0.7863333333333336,0.21411808787572234
25,35,0.7748333333333335,0.21530978973459508
26,36,0.7675000000000002,0.21749042124501333
27,37,0.7638333333333336,0.21411387157304873
28,38,0.7793333333333333,0.21887490085028527
29,39,0.7681666666666668,0.21785692297673004
30,40,0.7573333333333335,0.22068479281041944
31,41,0.7603333333333333,0.22174534944390606
32,42,0.7635000000000002,0.21984457893905154
33,43,0.7873333333333334,0.2150596816389968
34,44,0.7845000000000002,0.21736113063542686
35,45,0.7781666666666669,0.2204880319251415
36,46,0.7865000000000002,0.21749450823207264
37,47,0.7586666666666667,0.20578413717075258
38,48,0.7710000000000001,0.21573672226427593
39,49,0.7570000000000001,0.20506340482884802
40,50,0.7871666666666668,0.21460370453466085
41,51,0.7635000000000002,0.21984457893905154
42,52,0.7781666666666669,0.2204880319251415
43,53,0.7793333333333333,0.21887490085028527
44,54,0.7766666666666668,0.21460558137093164
45,55,0.7601666666666667,0.21364423959262535
46,56,0.7881666666666668,0.2134933644558225
47,57,0.7881666666666668,0.2134933644558225
48,58,0.7655000000000003,0.21582213613168702
49,59,0.7473333333333333,0.21301695289864192
50,60,0.7873333333333334,0.2139459952625636
51,61,0.7681666666666668,0.21785692297673004
52,62,0.7626666666666668,0.2144906110351272
53,63,0.7709999999999999,0.21808026045472342
